ID,BUG_TYPE,STOP_COND,BUD,SUBJ,TOOL,LINE,BRNCH,EPACOV,EPA,EPATOT,EXCEPCOV,EXCEP,EXCEPTOT,EXCEPVALCOV,EXCEPVAL,EXCEPVALTOT,ADJACCOV,ADJAC,ADJACTOT,ERR,NERR,TERR,MUT,TIME,LOC,PIMUT,ERRF,MJMUT,MUT_KILLED,ERRPROT_KILLED,GENS,TOT_TIME
0,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.566666667,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.606060606,N/A,N/A,N/A,N/A,2263,426.423
1,all,maxtime,600,com.example.socket.Socket,epatransition,0.663316583,0.566666667,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.626262626,N/A,N/A,N/A,N/A,1113,247.206
2,all,maxtime,600,com.example.socket.Socket,epatransition,0.658291457,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.575757576,N/A,N/A,N/A,N/A,2008,381.246
3,all,maxtime,600,com.example.socket.Socket,epatransition,0.658291457,0.544444444,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.585858586,N/A,N/A,N/A,N/A,109,69.366
4,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.533333333,0.95,19,20,0,0,512,0.035714286,19,532,4.33E-04,19,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,3915,614.384
5,all,maxtime,600,com.example.socket.Socket,epatransition,0.633165829,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.535353535,N/A,N/A,N/A,N/A,2657,477.303
6,all,maxtime,600,com.example.socket.Socket,epatransition,0.64321608,0.522222222,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,2768,486.49
7,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.555555556,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.595959596,N/A,N/A,N/A,N/A,2300,426.453
8,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,1137,244.591
9,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,3662,581.525
10,all,maxtime,600,com.example.socket.Socket,epatransition,0.64321608,0.522222222,0.95,19,20,0,0,512,0.035714286,19,532,4.33E-04,19,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,4122,614.92
11,all,maxtime,600,com.example.socket.Socket,epatransition,0.638190955,0.566666667,0.95,19,20,0,0,512,0.035714286,19,532,4.33E-04,19,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,3960,614.162
12,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.544444444,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.575757576,N/A,N/A,N/A,N/A,531,153.662
13,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,961,226.195
14,all,maxtime,600,com.example.socket.Socket,epatransition,0.653266332,0.566666667,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.595959596,N/A,N/A,N/A,N/A,210,96.063
15,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.566666667,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.606060606,N/A,N/A,N/A,N/A,295,104.487
16,all,maxtime,600,com.example.socket.Socket,epatransition,0.653266332,0.566666667,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.585858586,N/A,N/A,N/A,N/A,2408,437.299
17,all,maxtime,600,com.example.socket.Socket,epatransition,0.633165829,0.522222222,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.555555556,N/A,N/A,N/A,N/A,1884,377.938
18,all,maxtime,600,com.example.socket.Socket,epatransition,0.658291457,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.575757576,N/A,N/A,N/A,N/A,2456,439.517
19,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.533333333,0.95,19,20,0,0,512,0.035714286,19,532,4.33E-04,19,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,4032,614.495
20,all,maxtime,600,com.example.socket.Socket,epatransition,0.648241206,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.575757576,N/A,N/A,N/A,N/A,120,73.206
21,all,maxtime,600,com.example.socket.Socket,epatransition,0.653266332,0.566666667,0.95,19,20,0,0,512,0.035714286,19,532,4.33E-04,19,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.595959596,N/A,N/A,N/A,N/A,3985,612.467
22,all,maxtime,600,com.example.socket.Socket,epatransition,0.663316583,0.544444444,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.585858586,N/A,N/A,N/A,N/A,446,136.462
23,all,maxtime,600,com.example.socket.Socket,epatransition,0.64321608,0.522222222,0.95,19,20,0,0,512,0.035714286,19,532,4.33E-04,19,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.565656566,N/A,N/A,N/A,N/A,4230,614.113
24,all,maxtime,600,com.example.socket.Socket,epatransition,0.653266332,0.522222222,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.575757576,N/A,N/A,N/A,N/A,1314,287.706
25,all,maxtime,600,com.example.socket.Socket,epatransition,0.658291457,0.555555556,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.626262626,N/A,N/A,N/A,N/A,1604,341.767
26,all,maxtime,600,com.example.socket.Socket,epatransition,0.653266332,0.566666667,0.95,19,20,0,0,512,0.035714286,19,532,4.33E-04,19,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.595959596,N/A,N/A,N/A,N/A,3893,614.521
27,all,maxtime,600,com.example.socket.Socket,epatransition,0.658291457,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.575757576,N/A,N/A,N/A,N/A,784,193.814
28,all,maxtime,600,com.example.socket.Socket,epatransition,0.658291457,0.533333333,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.595959596,N/A,N/A,N/A,N/A,1595,340.087
29,all,maxtime,600,com.example.socket.Socket,epatransition,0.653266332,0.555555556,1,20,20,0,0,512,0.037593985,20,532,4.56E-04,20,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.585858586,N/A,N/A,N/A,N/A,2926,496.41
0,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.879396985,0.811111111,1,20,20,0.0625,32,512,0.097744361,52,532,0.006104227,268,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.818181818,N/A,N/A,N/A,N/A,842,780.208
1,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.874371859,0.788888889,1,20,20,0.064453125,33,512,0.09962406,53,532,0.006331997,278,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.767676768,N/A,N/A,N/A,N/A,918,776.809
2,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.879396985,0.811111111,1,20,20,0.060546875,31,512,0.095864662,51,532,0.005056487,222,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.777777778,N/A,N/A,N/A,N/A,905,760.881
3,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.879396985,0.811111111,1,20,20,0.0625,32,512,0.097744361,52,532,0.005398141,237,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.808080808,N/A,N/A,N/A,N/A,890,764.031
4,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.874371859,0.8,1,20,20,0.064453125,33,512,0.09962406,53,532,0.005079264,223,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.828282828,N/A,N/A,N/A,N/A,808,734.11
5,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.874371859,0.8,1,20,20,0.0625,32,512,0.097744361,52,532,0.005466472,240,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.808080808,N/A,N/A,N/A,N/A,769,760.497
6,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.864321608,0.811111111,0.95,19,20,0.05859375,30,512,0.092105263,49,532,0.003940415,173,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.797979798,N/A,N/A,N/A,N/A,767,710.647
7,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.879396985,0.811111111,1,20,20,0.060546875,31,512,0.095864662,51,532,0.005671465,249,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.808080808,N/A,N/A,N/A,N/A,789,765.315
8,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.884422111,0.822222222,1,20,20,0.064453125,33,512,0.09962406,53,532,0.005352587,235,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.848484848,N/A,N/A,N/A,N/A,759,742.702
9,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.884422111,0.822222222,1,20,20,0.060546875,31,512,0.095864662,51,532,0.005398141,237,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.818181818,N/A,N/A,N/A,N/A,733,754.001
10,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.879396985,0.8,1,20,20,0.0625,32,512,0.097744361,52,532,0.005284257,232,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.848484848,N/A,N/A,N/A,N/A,780,729.161
11,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.879396985,0.811111111,1,20,20,0.060546875,31,512,0.095864662,51,532,0.004897048,215,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.818181818,N/A,N/A,N/A,N/A,790,723.612
12,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.874371859,0.8,1,20,20,0.0625,32,512,0.097744361,52,532,0.00578535,254,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.828282828,N/A,N/A,N/A,N/A,773,746.894
13,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.879396985,0.811111111,1,20,20,0.0625,32,512,0.097744361,52,532,0.005124818,225,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.808080808,N/A,N/A,N/A,N/A,777,733.153
14,all,maxtime,600,com.example.socket.Socket,epaadjacentedges,0.879396985,0.8,1,20,20,0.060546875,31,512,0.095864662,51,532,0.004532617,199,43904,N/A,N/A,N/A,N/A,N/A,N/A,0.808080808,N/A,N/A,N/A,N/A,826,712.517
